Prompt,Contesto,Esempio,Accept,Reject
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Ho visto che non sei a casa. Chiamami subito e dimmi dove sei.,Chiamami subito.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia verso qualsivoglia attività che non includa il partner. ","In questo contesto la frase non è tossica perché, in una relazione sentimentale, questi comportamenti sottendono attenzione e premura nei confronti del proprio partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Chiamami subito appena arrivi a casa delle tue amiche, sono in pensiero.",Chiamami subito.,"In questo contesto la frase non è tossica perché, in una relazione sentimentale, questi comportamenti sottendono attenzione e premura nei confronti del proprio partner.","In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia verso qualsivoglia attività che non includa il partner. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Al mio ragazzo dà fastidio che io segua ragazzi su Instagram.,Il mio ragazzo mi ha chiesto chi fosse il ragazzo che ho appena iniziato a seguire su Instagram.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, evidenzia un comportamento geloso e possessivo da parte del partner, che cerca di controllare le azioni e le relazioni della persona coinvolta. Limitare la libertà di interagire con altre persone, soprattutto quando si tratta di contatti innocui, può portare a sentimenti di isolamento e oppressione.","In questo contesto la frase non è tossica perché il partner mostra semplice curiosità verso le interazioni online dell’altra persona, senza imporre limiti o giudizi. Il contesto è di comunicazione aperta, in cui entrambi i partner parlano liberamente delle proprie attività sui social senza che ciò comporti controllo o pressione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo ci tiene a conoscere i miei amici.,Il mio ragazzo mi ha chiesto chi fosse il ragazzo che ho appena iniziato a seguire su Instagram.,"In questo contesto la frase non è tossica perché il partner mostra semplice curiosità verso le interazioni online dell’altra persona, senza imporre limiti o giudizi. Il contesto è di comunicazione aperta, in cui entrambi i partner parlano liberamente delle proprie attività sui social senza che ciò comporti controllo o pressione.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, evidenzia un comportamento geloso e possessivo da parte del partner, che cerca di controllare le azioni e le relazioni della persona coinvolta. Limitare la libertà di interagire con altre persone, soprattutto quando si tratta di contatti innocui, può portare a sentimenti di isolamento e oppressione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Saresti molto provocante, non puoi mettere quel vestito.",Non puoi mettere quel vestito.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, è presente un atteggiamento di controllo e giudizio nell'ambito della relazione. Criticare il modo in cui una persona si veste è una forma di manipolazione che mina l'autostima e la libertà individuale. Può creare un ambiente in cui la persona si sente costantemente giudicata e non accettata per chi è veramente.",In questo contesto la frase non è tossica perché potrebbe semplicemente indicare un disagio derivante dal fatto che il proprio partner indossi abiti poco appropriati per un luogo pubblico.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Stiamo andando ad una cerimonia religiosa, non puoi mettere quel vestito.",Non puoi mettere quel vestito.,In questo contesto la frase non è tossica perché potrebbe semplicemente indicare un disagio derivante dal fatto che il proprio partner indossi abiti poco appropriati per un luogo pubblico.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, è presente un atteggiamento di controllo e giudizio nell'ambito della relazione. Criticare il modo in cui una persona si veste è una forma di manipolazione che mina l'autostima e la libertà individuale. Può creare un ambiente in cui la persona si sente costantemente giudicata e non accettata per chi è veramente."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Non voglio che disobbedisci, devi tornare alla stessa ora in cui torno io.",Devi tornare alla stessa ora in cui torno io.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, stabilire un orario specifico entro cui il partner deve rientrare limita la libertà individuale e l'autonomia, negando la possibilità di fare scelte personali riguardo al tempo trascorso fuori casa. Questo tipo di comportamento può generare risentimento, frustrazione e una sensazione di essere imprigionati nella relazione. Inoltre, suggerisce una mancanza di fiducia nel partner, creando una dinamica dannosa basata sul controllo anziché sulla fiducia reciproca e sulla comunicazione aperta.","In questo contesto la frase non è tossica perché all’interno di una relazione sentimentale può essere espressione di attenzione e desiderio di condividere il tempo insieme. Suggerire di rientrare alla stessa ora può derivare da preoccupazione o affetto, non da un intento di controllo. In questo caso, il comportamento si fonda sulla cura e sulla comunicazione reciproca, senza implicare una limitazione della libertà personale."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Se vogliamo arrivare insieme alla festa, devi tornare alla stessa ora in cui torno io.",Devi tornare alla stessa ora in cui torno io.,"In questo contesto la frase non è tossica perché all’interno di una relazione sentimentale può essere espressione di attenzione e desiderio di condividere il tempo insieme. Suggerire di rientrare alla stessa ora può derivare da preoccupazione o affetto, non da un intento di controllo. In questo caso, il comportamento si fonda sulla cura e sulla comunicazione reciproca, senza implicare una limitazione della libertà personale.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, stabilire un orario specifico entro cui il partner deve rientrare limita la libertà individuale e l'autonomia, negando la possibilità di fare scelte personali riguardo al tempo trascorso fuori casa. Questo tipo di comportamento può generare risentimento, frustrazione e una sensazione di essere imprigionati nella relazione. Inoltre, suggerisce una mancanza di fiducia nel partner, creando una dinamica dannosa basata sul controllo anziché sulla fiducia reciproca e sulla comunicazione aperta."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Ogni volta che discutiamo, il mio ragazzo mi dà ragione soltanto per zittirmi.",Gli spiego come stanno le cose e lui mi dà ragione.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, dare falsamente ragione al proprio partner implica un disprezzo e una svalutazione della sua opinione e delle sue emozioni. Inoltre, il fatto che la persona si aspetti che il partner acconsenta ciecamente e senza pensare alle sue opinioni o alle sue spiegazioni indica un atteggiamento dominante e autoritario.","In questo contesto la frase non è tossica perché il partner dà ragione all’altro basandosi su valutazioni razionali e reciproco rispetto. In una relazione sana, riconoscere il punto di vista dell’altro e concordare con esso può favorire la collaborazione e la fiducia, senza alcuna intenzione di controllare o manipolare."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando c'è qualche problema, il mio ragazzo ascolta il mio punto di vista perché sono più razionale.",Gli spiego come stanno le cose e lui mi dà ragione.,"In questo contesto la frase non è tossica perché il partner dà ragione all’altro basandosi su valutazioni razionali e reciproco rispetto. In una relazione sana, riconoscere il punto di vista dell’altro e concordare con esso può favorire la collaborazione e la fiducia, senza alcuna intenzione di controllare o manipolare.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, dare falsamente ragione al proprio partner implica un disprezzo e una svalutazione della sua opinione e delle sue emozioni. Inoltre, il fatto che la persona si aspetti che il partner acconsenta ciecamente e senza pensare alle sue opinioni o alle sue spiegazioni indica un atteggiamento dominante e autoritario."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Dovresti farmi più regali perché io mi preoccupo di farti trovare la cena pronta quando torni da lavoro.,Dovresti farmi più regali.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, evidenzia un comportamento manipolativo e dannoso che mina l'autostima del partner. Sminuire i successi dell'altro può generare sentimenti di inferiorità e insicurezza, creando un ambiente tossico e disfunzionale all'interno della relazione.","In questo contesto la frase non è tossica perché, in un contesto di gioco, può essere un commento leggero senza alcuna intenzione di manipolare o controllare il partner. Esprime leggerezza e affetto, e può favorire il divertimento e la complicità nella relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando ci punzecchiamo, il mio ragazzo mi dice che dovrei fargli più regali soltanto perché mi sopporta.",Dovresti farmi più regali.,"In questo contesto la frase non è tossica perché, in un contesto di gioco, può essere un commento leggero senza alcuna intenzione di manipolare o controllare il partner. Esprime leggerezza e affetto, e può favorire il divertimento e la complicità nella relazione.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, evidenzia un comportamento manipolativo e dannoso che mina l'autostima del partner. Sminuire i successi dell'altro può generare sentimenti di inferiorità e insicurezza, creando un ambiente tossico e disfunzionale all'interno della relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando il mio ragazzo è arrabbiato con me, non mi risponde per diverse ore.",Non mi risponde da diverse ore.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, esprime il disagio provato dalla vittima nell'essere oggetto della punizione del silenzio da parte del partner senza che questo dia motivazione e/o spiegazione alcuna. ","In questo contesto la frase non è tossica perché, in una relazione sentimentale, può capitare che un partner non risponda immediatamente ai messaggi per motivi personali o impegni, senza alcuna intenzione di manipolare, punire o controllare l’altro. L’assenza di risposta non implica mancanza di rispetto o fiducia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Quando il mio ragazzo è molto impegnato al lavoro non mi risponde per diverse ore.,Non mi risponde da diverse ore.,"In questo contesto la frase non è tossica perché, in una relazione sentimentale, può capitare che un partner non risponda immediatamente ai messaggi per motivi personali o impegni, senza alcuna intenzione di manipolare, punire o controllare l’altro. L’assenza di risposta non implica mancanza di rispetto o fiducia.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, esprime il disagio provato dalla vittima nell'essere oggetto della punizione del silenzio da parte del partner senza che questo dia motivazione e/o spiegazione alcuna. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando dico al mio ragazzo che non mi è piaciuto il suo comportamento, dice che mi ama per farmi smettere di lamentarmi.",Se sono così geloso è perché ti amo e ci tengo a te.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, tenta di giustificare il controllo posto in essere nei confronti della vittima, con uno spostamento di responsabilità verso soggetti esterni ignoti, sottendendo in questo modo un'incapacità da parte della vittima di discernere da potenziali comportamenti verso di lei dannosi.  ","In questo contesto la frase non è tossica perché, in una relazione sentimentale, è legittimo esprimere gelosia, che può derivare da un forte sentimento di amore e vicinanza verso il partner. Inoltre, la frase non è minacciosa né offensiva, ma serve a comunicare emozioni e preoccupazioni basate sul legame affettivo e sulla natura esclusiva della relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando faccio notare al mio ragazzo che qualcuno mi sta fissando, mi dice che è geloso perché apprezza la mia bellezza.",Se sono così geloso è perché ti amo e ci tengo a te.,"In questo contesto la frase non è tossica perché, in una relazione sentimentale, è legittimo esprimere gelosia, che può derivare da un forte sentimento di amore e vicinanza verso il partner. Inoltre, la frase non è minacciosa né offensiva, ma serve a comunicare emozioni e preoccupazioni basate sul legame affettivo e sulla natura esclusiva della relazione.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, tenta di giustificare il controllo posto in essere nei confronti della vittima, con uno spostamento di responsabilità verso soggetti esterni ignoti, sottendendo in questo modo un'incapacità da parte della vittima di discernere da potenziali comportamenti verso di lei dannosi.  "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Il mio ragazzo, quando mi offro per aiutarlo nella manutenzione della casa, mi sminuisce in quanto donna.","Sei una donna, non puoi farlo.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla.","In questo contesto la frase non è tossica perché fa riferimento un limite pratico legato a una situazione specifica. Non esprime denigrazione o controllo, ma si riferisce a considerazioni di sicurezza o capacità fisiche legate alla circostanza, senza voler influenzare negativamente lo stato emotivo del partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Di fronte alla richiesta dell'allenatore di trasportare quel peso enorme, il mio ragazzo mi ha detto che non posso farlo.","Sei una donna, non puoi farlo.","In questo contesto la frase non è tossica perché fa riferimento un limite pratico legato a una situazione specifica. Non esprime denigrazione o controllo, ma si riferisce a considerazioni di sicurezza o capacità fisiche legate alla circostanza, senza voler influenzare negativamente lo stato emotivo del partner.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, perpetua stereotipi di genere e discriminazione, negando il valore e le capacità delle donne in ambiti specifici. Rafforzando l'idea che il genere determini le competenze, questa affermazione limita le opportunità e il potenziale delle donne, contribuendo a una cultura di disuguaglianza e oppressione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando mi commuovo, la mia ragazza ride di me.",I veri uomini non piangono.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla.","In questo contesto la frase non è tossica perché non mira a denigrare, controllare o influenzare negativamente lo stato emotivo del partner. La comunicazione è leggera e mira a creare complicità senza alcun intento aggressivo."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando mi commuovo, la mia ragazza mi prende in giro per farmi ritornare il buon umore.",I veri uomini non piangono.,"In questo contesto la frase non è tossica perché non mira a denigrare, controllare o influenzare negativamente lo stato emotivo del partner. La comunicazione è leggera e mira a creare complicità senza alcun intento aggressivo.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi dice che sono una troia perché pubblico foto in bikini.,Vuoi pubblicare quella foto in bikini?,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia.","In questo contesto la frase non è tossica perché, in questo contesto, l’affermazione non ha l’intento di denigrare, controllare o ferire il partner. L’espressione non ha nessuna intenzione aggressiva o coercitiva nei confronti dell’altro."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Vuoi pubblicare quella foto in bikini? E' bellissima.,Vuoi pubblicare quella foto in bikini?,"In questo contesto la frase non è tossica perché, in questo contesto, l’affermazione non ha l’intento di denigrare, controllare o ferire il partner. L’espressione non ha nessuna intenzione aggressiva o coercitiva nei confronti dell’altro.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando vorrei fare qualcosa a cui il mio ragazzo non è d'accordo, mi mette in guardia sulle possibili conseguenze.",Per ogni azione c'è sempre una conseguenza.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte e minacciosa. In particolare, minaccia comportamenti dannosi o pericolosi in risposta alla fine della relazione, cercando di costringere l'altra persona a rimanere in una situazione indesiderata per evitare conseguenze negative. Mette in atto un controllo emotivo manipolativo e può generare paura e stress nell'altra persona.","In questo contesto la frase non è tossica perché, in un contesto di preoccupazione sincera, può essere un avvertimento volto a proteggere il partner dalle possibili conseguenze di una scelta rischiosa. È espressione di cura e responsabilità, priva di intento intimidatorio o manipolativo."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Prima di agire, il mio ragazzo mi invita a riflettere sulle possibili conseguenze.",Per ogni azione c'è sempre una conseguenza.,"In questo contesto la frase non è tossica perché, in un contesto di preoccupazione sincera, può essere un avvertimento volto a proteggere il partner dalle possibili conseguenze di una scelta rischiosa. È espressione di cura e responsabilità, priva di intento intimidatorio o manipolativo.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte e minacciosa. In particolare, minaccia comportamenti dannosi o pericolosi in risposta alla fine della relazione, cercando di costringere l'altra persona a rimanere in una situazione indesiderata per evitare conseguenze negative. Mette in atto un controllo emotivo manipolativo e può generare paura e stress nell'altra persona."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Preferisci uscire con le tue amiche piuttosto che con me? Dimmelo e non usciamo più.,Preferisci uscire con le tue amiche?,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner costringendolo a scegliere tra la relazione amorosa col partner e rapporti di amicizia con soggetti esterni. ","In questo contesto la frase non è tossica perché, in un contesto di relazione sana, verifica le priorità del partner. È una richiesta diretta volta a chiarire le preferenze, priva di intento di controllo o punizione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Stasera cosa vuoi fare? Preferisci uscire con le tue amiche?,Preferisci uscire con le tue amiche?,"In questo contesto la frase non è tossica perché, in un contesto di relazione sana, verifica le priorità del partner. È una richiesta diretta volta a chiarire le preferenze, priva di intento di controllo o punizione.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner costringendolo a scegliere tra la relazione amorosa col partner e rapporti di amicizia con soggetti esterni. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando discutiamo, a volte il mio ragazzo mi insulta.",A volte al mio ragazzo scappa qualche parola di troppo.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo.  Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, suggerisce un controllo emotivo durante le discussioni, che può sfociare in comportamenti dannosi e lesivi per l'altra persona. Insultare il partner durante un conflitto crea un ambiente tossico e distruttivo, minando la fiducia e il rispetto reciproci.","In questo contesto la frase non è tossica perché non contiene elementi di aggressività o di offesa. L’episodio rappresenta una normale caratteristica personale del partner e non un comportamento volto a esercitare controllo, umiliazione o potere sull’altro."
